data,pontuacao_geral,descrever_principais_conceitos_dados,identificar_consideracoes_dados_relacionais_azure,descrever_consideracoes_para_trabalhar_com_dados_nao_relacionais_azure,descrever_carga_de_trabalho_de_analise_no_azure
1/2/2026,"0,74",0,0,1,1
2/2/2026,"0,82",1,1,1,0
3/2/2026,"0,84",1,1,1,1
4/2/2026,"0,94",1,1,1,1
5/2/2026,"0,92",1,1,0,1
6/2/2026,"0,92",1,1,1,1
9/2/2026,"0,94",1,1,1,1
10/2/2026,"0,98",1,1,1,1
11/2/2026,"0,96",1,1,1,1
12/2/2026,"0,96",1,1,1,1
13/2/2026,"0,98",1,1,1,1
18/2/2026,"0,98",1,1,1,1
19/2/2026,"0,98",1,1,1,1
21/2/2026,"0,98",1,1,1,1
26/2/2026,"0,98",1,1,1,1
27/2/2026,"0,94",1,1,1,1
1/3/2026,"0,98",1,1,1,1
2/3/2026,"0,96",1,1,1,1
4/3/2026,1,1,1,1,1
7/3/2026,"0,98",1,1,1,1
8/3/2026,"0,98",1,1,1,1
10/3/2026,1,1,1,1,1
11/3/2026,1,1,1,1,1
28/4/2026,"0,92",1,1,1,1
29/4/2026,"0,94",1,1,1,1
30/4/2026,"0,94",1,1,1,1
1/5/2026,"0,9",1,0,1,1
3/5/2026,"0,96",1,1,1,1
5/5/2026,"0,94",1,1,1,1
6/5/2026,"0,96",1,1,1,1
9/5/2026,1,1,1,1,1
11/5/2026,"0,98",1,1,1,1
12/5/2026,"0,98",1,1,1,1
13/5/2026,"0,98",1,1,1,1
2/6/2026,"0,98",1,1,1,1
3/6/2026,"0,98",1,1,1,1
4/6/2026,"0,98",1,1,1,1
5/6/2026,"0,96",1,1,1,1
10/6/2026,"0,98",1,1,1,1
12/6/2026,"0,98",1,1,1,1
14/6/2026,"0,98",1,1,1,1
15/6/2026,1,1,1,1,1
16/6/2026,"0,98",1,1,1,1
20/6/2026,1,1,1,1,1
22/6/2026,1,1,1,1,1
